# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       1.065297608949e-05      -1.642123861610e+00      -1.231592970351e+00      -1.231592970390e+00      -1.231232617575e-01      -1.642123857689e+00      -1.248318065414e+00      -1.232119451330e+00      -1.122762217458e+00       5.896060785806e-01       5.891982227195e-01       9.053100285959e-08       9.056769580832e-08       9.056771097475e-08       9.056766926745e-08       9.052966586824e-08       9.056265407563e-08       9.056644664358e-08       9.056766926745e-08 
       1.341130231029e-05      -1.642375651353e+00      -1.231781928224e+00      -1.231781928274e+00      -1.231312608259e-01      -1.642375641126e+00      -1.248509563108e+00      -1.232308488186e+00      -1.122933416463e+00       5.896232636680e-01       5.892154705049e-01       1.434533132122e-07       1.435420262506e-07       1.435420386629e-07       1.435419460876e-07       1.434499118507e-07       1.435305374270e-07       1.435400733667e-07       1.435419460876e-07 
       1.688382928368e-05      -1.642875409230e+00      -1.232157034578e+00      -1.232157034647e+00      -1.231420544239e-01      -1.642875383343e+00      -1.248889690970e+00      -1.232683749737e+00      -1.123272735953e+00       5.896252914661e-01       5.892175959086e-01       2.272789135172e-07       2.275000588013e-07       2.275000768237e-07       2.274998538612e-07       2.272703504317e-07       2.274725571554e-07       2.274965353104e-07       2.274998538612e-07 
       2.125548173362e-05      -1.643701211523e+00      -1.232777151837e+00      -1.232777152041e+00      -1.231574040380e-01      -1.643701143999e+00      -1.249518037680e+00      -1.233304115782e+00      -1.123833466113e+00       5.896199645182e-01       5.892124374398e-01       3.599942154745e-07       3.605613435286e-07       3.605614036019e-07       3.605608389667e-07       3.599721335601e-07       3.604925132948e-07       3.605545101719e-07       3.605608389668e-07 
       2.675906609438e-05      -1.644944660098e+00      -1.233711665339e+00      -1.233711665904e+00      -1.231832372113e-01      -1.644944487145e+00      -1.250464757673e+00      -1.234238987610e+00      -1.124678768359e+00       5.896276245934e-01       5.892203595696e-01       5.700241563495e-07       5.714533145058e-07       5.714534605514e-07       5.714520555000e-07       5.699680474484e-07       5.712827296409e-07       5.714401482243e-07       5.714520555001e-07 
       3.368766830209e-05      -1.647021187500e+00      -1.235273951934e+00      -1.235273953462e+00      -1.232221152366e-01      -1.647020747513e+00      -1.252047018631e+00      -1.235801832630e+00      -1.126091460217e+00       5.896126981118e-01       5.892058519676e-01       9.020608649575e-07       9.056825597290e-07       9.056829439399e-07       9.056793992646e-07       9.019187221550e-07       9.052538483024e-07       9.056534139123e-07       9.056793992650e-07 
       4.241026168960e-05      -1.650211409334e+00      -1.237678887145e+00      -1.237678891145e+00      -1.232854598507e-01      -1.650210298646e+00      -1.254481491781e+00      -1.238207522469e+00      -1.128266450547e+00       5.896127462186e-01       5.892065575720e-01       1.426302179872e-06       1.435405333970e-06       1.435406313001e-06       1.435397442984e-06       1.425944325685e-06       1.434335108140e-06       1.435341939310e-06       1.435397442986e-06 
       5.339135616187e-05      -1.655289127736e+00      -1.241518227620e+00      -1.241518238069e+00      -1.233848962364e-01      -1.655286318983e+00      -1.258365018547e+00      -1.242047792617e+00      -1.131738501933e+00       5.896035307758e-01       5.891983930667e-01       2.252016572889e-06       2.274934515296e-06       2.274936998869e-06       2.274914721291e-06       2.251114785881e-06       2.272247384645e-06       2.274788750076e-06       2.274914721297e-06 
       6.721573504233e-05      -1.663305474504e+00      -1.247608311636e+00      -1.247608338388e+00      -1.235422830918e-01      -1.663298416354e+00      -1.264517879634e+00      -1.248138693869e+00      -1.137245940206e+00       5.895871624626e-01       5.891836784990e-01       3.547904170056e-06       3.605447722356e-06       3.605454066494e-06       3.605398197154e-06       3.545642607266e-06       3.598710872293e-06       3.605102152067e-06       3.605398197180e-06 
       8.461959691722e-05      -1.675898008188e+00      -1.257247198746e+00      -1.257247265794e+00      -1.237925875564e-01      -1.675880349454e+00      -1.274237873887e+00      -1.257777260546e+00      -1.145962724991e+00       5.895655486069e-01       5.891646624381e-01       5.570030733871e-06       5.714087727596e-06       5.714103614360e-06       5.713963870637e-06       5.564382783259e-06       5.697226914209e-06       5.713254090673e-06       5.713963870739e-06 
