# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_lambda         17:(.)rho_fld            18:(.)w_fld              19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       1.000000000000e+14       7.558505436866e-26       4.634785000235e-09       2.157545431520e+22       1.401051969792e+04       1.401051969792e-10       1.401051969792e+18       2.675958803717e-09       2.751560535470e+44       2.447385063296e+33       1.348565247439e+34       6.331470950076e+43       2.110490316692e+43       6.331470950076e+43       2.110490316692e+43      -3.766236863122e-14       5.379180672314e-04      -9.000000000000e-01       6.371475634291e+43       4.655002289073e+44       4.655002289073e+44       1.551667429638e+44      -1.339117189622e+53       5.681373456760e-20       2.000000000000e+14 
       9.930486593843e+13       7.664694879749e-26       4.667526809499e-09       2.127654020191e+22       1.401051969792e+04       1.410859333581e-10       1.391312780330e+18       2.694690515343e-09       2.675846458098e+44       2.396701200931e+33       1.320637277943e+34       6.157249276517e+43       2.052416425506e+43       6.157249276517e+43       2.052416425506e+43      -3.766236863122e-14       5.367935516720e-04      -9.000000000000e-01       6.196153160761e+43       4.526911629634e+44       4.526911629634e+44       1.508970543159e+44      -1.293216485280e+53       7.926213345353e-08       1.433565615564e+02 
       9.861456399050e+13       7.772376178114e-26       4.700268618762e-09       2.098176735238e+22       1.401051969792e+04       1.420735348916e-10       1.381641291291e+18       2.713553348951e-09       2.602215788102e+44       2.347066970658e+33       1.293287679781e+34       5.987821621879e+43       1.995940540626e+43       5.987821621879e+43       1.995940540626e+43      -3.766236863122e-14       5.356713869080e-04      -9.000000000000e-01       6.025654996621e+43       4.402345612292e+44       4.402345612292e+44       1.467448537380e+44      -1.248889111992e+53       1.585242669070e-07       7.167828077820e+01 
       9.792906056653e+13       7.881570291041e-26       4.733010428026e-09       2.069107839205e+22       1.401051969792e+04       1.430680496358e-10       1.372037032066e+18       2.732548222393e-09       2.530611196824e+44       2.298460635233e+33       1.266504475233e+34       5.823056070214e+43       1.941018690071e+43       5.823056070214e+43       1.941018690071e+43      -3.766236863122e-14       5.345515680248e-04      -9.000000000000e-01       5.859848392424e+43       4.281207250259e+44       4.281207250259e+44       1.427069083370e+44      -1.206081140942e+53       2.377864003604e-07       4.778552051880e+01 
       9.724832231036e+13       7.992298472059e-26       4.765752237290e-09       2.040441674125e+22       1.401051969792e+04       1.440695259833e-10       1.362499535319e+18       2.751676059950e-09       2.460976933110e+44       2.250860907575e+33       1.240275934628e+34       5.662824335475e+43       1.887608111825e+43       5.662824335475e+43       1.887608111825e+43      -3.766236863122e-14       5.334340901185e-04      -9.000000000000e-01       5.698604251563e+43       4.163402225508e+44       4.163402225508e+44       1.387800741787e+44      -1.164740491825e+53       3.170485338139e-07       3.583914038910e+01 
       9.657231609767e+13       8.104582273293e-26       4.800313035958e-09       2.012172660419e+22       1.401051969792e+04       1.450780126651e-10       1.353028336960e+18       2.770937792369e-09       2.393258779894e+44       2.204246941448e+33       1.214590571214e+34       5.507001661632e+43       1.835667220544e+43       5.507001661632e+43       1.835667220544e+43      -3.766236863122e-14       5.323189482953e-04      -9.000000000000e-01       5.541797029752e+43       4.048838815339e+44       4.048838815339e+44       1.349612938399e+44      -1.124816869483e+53       3.963106672673e-07       2.867131231128e+01 
       9.590100903443e+13       8.218443549651e-26       4.833054845221e-09       1.984295295809e+22       1.401051969792e+04       1.460935587538e-10       1.343622976127e+18       2.790334356916e-09       2.327404011992e+44       2.158598322326e+33       1.189437136120e+34       5.355466725541e+43       1.785155575180e+43       5.355466725541e+43       1.785155575180e+43      -3.766236863122e-14       5.312061376717e-04      -9.000000000000e-01       5.389304637279e+43       3.937427820969e+44       3.937427820969e+44       1.312475940276e+44      -1.086261702718e+53       4.755728007207e-07       2.389276025940e+01 
       9.523436845525e+13       8.333904463080e-26       4.867615643889e-09       1.956804154246e+22       1.401051969792e+04       1.471162136651e-10       1.334282995161e+18       2.809866697414e-09       2.263361355047e+44       2.113895058459e+33       1.164804613432e+34       5.208101542478e+43       1.736033847493e+43       5.208101542478e+43       1.736033847493e+43      -3.766236863122e-14       5.300956533741e-04      -9.000000000000e-01       5.241008343948e+43       3.829082498075e+44       3.829082498075e+44       1.276360832646e+44      -1.049028085197e+53       5.548349341742e-07       2.047950879377e+01 
       9.457236192179e+13       8.450987486881e-26       4.900357453153e-09       1.929693884858e+22       1.401051969792e+04       1.481460271607e-10       1.325007939584e+18       2.829535764296e-09       2.201080945604e+44       2.070117572111e+33       1.140682215369e+34       5.064791374280e+43       1.688263791427e+43       5.064791374280e+43       1.688263791427e+43      -3.766236863122e-14       5.289874905395e-04      -9.000000000000e-01       5.096792686635e+43       3.723718489258e+44       3.723718489258e+44       1.241239496374e+44      -1.013070718390e+53       6.340970676276e-07       1.791957019455e+01 
       9.391495722125e+13       8.569715410084e-26       4.934918251820e-09       1.902959210904e+22       1.401051969792e+04       1.491830493509e-10       1.315797358078e+18       2.849342514646e-09       2.140514292293e+44       2.027246690991e+33       1.117059377561e+34       4.925424640007e+43       1.641808213336e+43       4.925424640007e+43       1.641808213336e+43      -3.766236863122e-14       5.278816443149e-04      -9.000000000000e-01       4.956545379390e+43       3.621253758365e+44       3.621253758365e+44       1.207084586078e+44      -9.783458564563e+52       7.133592010810e-07       1.592850683960e+01 
       9.326212236469e+13       8.690111341881e-26       4.969479050487e-09       1.876594928750e+22       1.401051969792e+04       1.502273306963e-10       1.306650802460e+18       2.869287912248e-09       2.081614238068e+44       1.985263639854e+33       1.093925754415e+34       4.789892829068e+43       1.596630943023e+43       4.789892829068e+43       1.596630943023e+43      -3.766236863122e-14       5.267781098573e-04      -9.000000000000e-01       4.820157226008e+43       3.521608526612e+44       3.521608526612e+44       1.173869508828e+44      -9.448112530257e+52       7.926213345344e-07       1.433565615564e+01 
       9.261382558559e+13       8.812198716123e-26       5.004039849155e-09       1.850595906855e+22       1.401051969792e+04       1.512789220112e-10       1.297567827667e+18       2.889372927634e-09       2.024334923495e+44       1.944150032278e+33       1.071271214594e+34       4.658090416733e+43       1.552696805578e+43       4.658090416733e+43       1.552696805578e+43      -3.766236863122e-14       5.256768823341e-04      -9.000000000000e-01       4.687522035015e+43       3.424705210469e+44       3.424705210469e+44       1.141568403448e+44      -9.124261097985e+52       8.718834679877e-07       1.303241468694e+01 
       9.197003533823e+13       8.936001295885e-26       5.040419637226e-09       1.824957084772e+22       1.401051969792e+04       1.523378744653e-10       1.288547991725e+18       2.909598538127e-09       1.968631751041e+44       1.903887862614e+33       1.049085836572e+34       4.529914781972e+43       1.509971593991e+43       4.529914781972e+43       1.509971593991e+43      -3.766236863122e-14       5.245779569227e-04      -9.000000000000e-01       4.558536536980e+43       3.330468361258e+44       3.330468361258e+44       1.110156120378e+44      -8.811510269124e+52       9.511456014411e-07       1.194638012970e+01 
       9.133072029615e+13       9.061543178091e-26       5.074980435893e-09       1.799673472161e+22       1.401051969792e+04       1.534042395865e-10       1.279590855735e+18       2.929965727894e-09       1.914461350357e+44       1.864459498098e+33       1.027359904291e+34       4.405266127557e+43       1.468422042519e+43       4.405266127557e+43       1.468422042519e+43      -3.766236863122e-14       5.234813288104e-04      -9.000000000000e-01       4.433100304118e+43       3.238824606401e+44       3.238824606401e+44       1.079608202093e+44      -8.509479550079e+52       1.030407734894e-06       1.102742781203e+01 
       9.069584935070e+13       9.188848798200e-26       5.109541234560e-09       1.774740147825e+22       1.401051969792e+04       1.544780692636e-10       1.270695983848e+18       2.950475487989e-09       1.861781544502e+44       1.825847671131e+33       1.006083902910e+34       4.284047402356e+43       1.428015800785e+43       4.284047402356e+43       1.428015800785e+43      -3.766236863122e-14       5.223869931947e-04      -9.000000000000e-01       4.311115672090e+43       3.149702592301e+44       3.149702592301e+44       1.049900864061e+44      -8.217801489370e+52       1.109669868348e-06       1.023975439688e+01 
       9.006539160943e+13       9.317942934965e-26       5.145921022631e-09       1.750152258742e+22       1.401051969792e+04       1.555594157485e-10       1.261862943245e+18       2.971128816405e-09       1.810551317112e+44       1.788035471714e+33       9.852485146307e+33       4.166164225771e+43       1.388721408590e+43       4.166164225771e+43       1.388721408590e+43      -3.766236863122e-14       5.212949452833e-04      -9.000000000000e-01       4.192487663967e+43       3.063032928780e+44       3.063032928780e+44       1.021010976221e+44      -7.936121230595e+52       1.188932001801e-06       9.557104103757e+00 
