# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_lambda         17:(.)rho_fld            18:(.)w_fld              19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       8.943931639467e+13       9.448850715259e-26       5.182300810702e-09       1.725905019128e+22       1.401051969792e+04       1.566483316587e-10       1.253091304116e+18       2.991926718120e-09       1.760730780460e+44       1.751006340046e+33       9.648446146236e+33       4.051524814257e+43       1.350508271419e+43       4.051524814257e+43       1.350508271419e+43      -3.766236863122e-14       5.202051802936e-04      -9.000000000000e-01       4.077123916276e+43       2.978748135053e+44       2.978748135053e+44       9.929160449796e+43      -7.664096080706e+52       1.268194135255e-06       8.959785097272e+00 
       8.881759324197e+13       9.581597618957e-26       5.218680598773e-09       1.701993709504e+22       1.401051969792e+04       1.577448699803e-10       1.244380639639e+18       3.012870205147e-09       1.712281144399e+44       1.714744059267e+33       9.448632670276e+33       3.940039909853e+43       1.313346636618e+43       3.940039909853e+43       1.313346636618e+43      -3.766236863122e-14       5.191176934533e-04      -9.000000000000e-01       3.964934607093e+43       2.896782587191e+44       2.896782587191e+44       9.655941956930e+43      -7.401395093090e+52       1.347456268708e-06       8.432738915079e+00 
       8.820019189868e+13       9.716209483905e-26       5.255060386844e-09       1.678413675773e+22       1.401051969792e+04       1.588490840702e-10       1.235730525957e+18       3.033960296583e-09       1.665164686165e+44       1.679232748361e+33       9.252957210384e+33       3.831622710690e+43       1.277207570230e+43       3.831622710690e+43       1.277207570230e+43      -3.766236863122e-14       5.180324799998e-04      -9.000000000000e-01       3.855832386101e+43       2.817072467022e+44       2.817072467022e+44       9.390241556377e+43      -7.147698664938e+52       1.426718402161e-06       7.964253419797e+00 
       8.758708232243e+13       9.852712510945e-26       5.291440174915e-09       1.655160328321e+22       1.401051969792e+04       1.599610276587e-10       1.227140542162e+18       3.055198018659e-09       1.619344721000e+44       1.644456855196e+33       9.061334070752e+33       3.726188803409e+43       1.242062934470e+43       3.726188803409e+43       1.242062934470e+43      -3.766236863122e-14       5.169495351807e-04      -9.000000000000e-01       3.749732306583e+43       2.739555712447e+44       2.739555712447e+44       9.131852374467e+43      -6.902698148414e+52       1.505980535615e-06       7.545082187175e+00 
       8.697823467967e+13       9.991133269011e-26       5.329638952389e-09       1.632229141117e+22       1.401051969792e+04       1.610807548523e-10       1.218610270270e+18       3.076584404789e-09       1.574785573594e+44       1.610401149715e+33       8.873679330283e+33       3.623656097432e+43       1.207885365811e+43       3.623656097432e+43       1.207885365811e+43      -3.766236863122e-14       5.158688542534e-04      -9.000000000000e-01       3.646551759281e+43       2.664171969113e+44       2.664171969113e+44       8.880573230028e+43      -6.666095475155e+52       1.585242669068e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149870031e-25       5.366018740460e-09       1.609615650839e+22       1.401051969792e+04       1.622083201363e-10       1.210139295203e+18       3.098120495622e-09       1.531452550306e+44       1.577050717268e+33       8.689910805832e+33       3.523944761049e+43       1.174648253683e+43       3.523944761049e+43       1.174648253683e+43      -3.766236863122e-14       5.147904324853e-04      -9.000000000000e-01       3.546210408080e+43       2.590862543426e+44       2.590862543426e+44       8.636208477745e+43      -6.437602793641e+52       1.664504802521e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383612555e-25       5.404217517935e-09       1.587315455998e+22       1.401051969792e+04       1.633437783772e-10       1.201727204770e+18       3.119807339092e-09       1.489311912151e+44       1.544390952079e+33       8.509948016221e+33       3.426977159264e+43       1.142325719755e+43       3.426977159264e+43       1.142325719755e+43      -3.766236863122e-14       5.137142651535e-04      -9.000000000000e-01       3.448630127453e+43       2.519570356850e+44       2.519570356850e+44       8.398567855832e+43      -6.216942118988e+52       1.743766935974e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817324927e-25       5.440597306006e-09       1.565324216086e+22       1.401051969792e+04       1.644871848258e-10       1.193373589643e+18       3.141645990465e-09       1.448330848536e+44       1.512407550845e+33       8.333712146985e+33       3.332677793344e+43       1.110892597781e+43       3.332677793344e+43       1.110892597781e+43      -3.766236863122e-14       5.126403475452e-04      -9.000000000000e-01       3.353734941638e+43       2.450239901466e+44       2.450239901466e+44       8.167466337893e+43      -6.003844994760e+52       1.823029069428e-06       6.232893980709e+00 
       8.458487400115e+13       1.056453816525e-25       5.478796083480e-09       1.543637650731e+22       1.401051969792e+04       1.656385951196e-10       1.185078043339e+18       3.163637512398e-09       1.408477451704e+44       1.481086506480e+33       8.161126015862e+33       3.240973242037e+43       1.080324414012e+43       3.240973242037e+43       1.080324414012e+43      -3.766236863122e-14       5.115686749573e-04      -9.000000000000e-01       3.261450965479e+43       2.382817196756e+44       2.382817196756e+44       7.942723988865e+43      -5.798052166355e+52       1.902291202881e-06       5.973190064846e+00 
       8.399689573103e+13       1.071295936194e-25       5.518813850358e-09       1.522251538862e+22       1.401051969792e+04       1.667980652855e-10       1.176840162204e+18       3.185782974985e-09       1.369720691902e+44       1.450414101974e+33       7.992114038984e+33       3.151792104408e+43       1.050597368136e+43       3.151792104408e+43       1.050597368136e+43      -3.766236863122e-14       5.104992426967e-04      -9.000000000000e-01       3.171706346903e+43       2.317249747568e+44       2.317249747568e+44       7.724165824913e+43      -5.599313265601e+52       1.981553336334e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346572801e-25       5.557012627833e-09       1.501161717888e+22       1.401051969792e+04       1.679656517425e-10       1.168659545386e+18       3.208083455810e-09       1.332030393213e+44       1.420376904387e+33       7.826602197783e+33       3.065064944248e+43       1.021688314749e+43       3.065064944248e+43       1.021688314749e+43      -3.766236863122e-14       5.094320460800e-04      -9.000000000000e-01       3.084431210974e+43       2.253486503252e+44       2.253486503252e+44       7.511621677198e+43      -5.407386506156e+52       2.060815469788e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608655802e-25       5.595211405307e-09       1.480364082888e+22       1.401051969792e+04       1.691414113047e-10       1.160535794822e+18       3.230540040000e-09       1.295377210063e+44       1.390961758970e+33       7.664518006569e+33       2.980724236004e+43       9.935747453346e+42       2.980724236004e+43       9.935747453346e+42      -3.766236863122e-14       5.083670804334e-04      -9.000000000000e-01       2.999557605490e+43       2.191477817904e+44       2.191477817904e+44       7.304926059377e+43      -5.222038389349e+52       2.140077603241e-06       5.309502279863e+00 
       8.225737089444e+13       1.117085155808e-25       5.635229172185e-09       1.459854585812e+22       1.401051969792e+04       1.703254011838e-10       1.152468515216e+18       3.253153820280e-09       1.259732604377e+44       1.362155783399e+33       7.505790480785e+33       2.898704312212e+43       9.662347707373e+42       2.898704312212e+43       9.662347707373e+42      -3.766236863122e-14       5.073043410933e-04      -9.000000000000e-01       2.917019448072e+43       2.131175411715e+44       2.131175411715e+44       7.103918038756e+43      -5.043043420105e+52       2.219339736694e-06       5.119877198439e+00 
       8.168557189121e+13       1.132779085162e-25       5.673427949660e-09       1.439629234694e+22       1.401051969792e+04       1.715176789921e-10       1.144457314018e+18       3.275925897022e-09       1.225068823353e+44       1.333946362136e+33       7.350350105925e+33       2.818941312364e+43       9.396471041213e+42       2.818941312364e+43       9.396471041213e+42      -3.766236863122e-14       5.062438234055e-04      -9.000000000000e-01       2.836752474716e+43       2.072532333385e+44       2.072532333385e+44       6.908441110993e+43      -4.870183832607e+52       2.298601870147e-06       4.943329708838e+00 
       8.111774765760e+13       1.148693498529e-25       5.713445716538e-09       1.419684092873e+22       1.401051969792e+04       1.727183027450e-10       1.136501801408e+18       3.298857378301e-09       1.191358877859e+44       1.306321140901e+33       7.198128807084e+33       2.741373133188e+43       9.137910443959e+42       2.741373133188e+43       9.137910443959e+42      -3.766236863122e-14       5.051855227257e-04      -9.000000000000e-01       2.758694189759e+43       2.015502923557e+44       2.015502923557e+44       6.718343078240e+43      -4.703249325364e+52       2.377864003601e-06       4.778552051876e+00 
       8.055387056366e+13       1.164831493490e-25       5.753463483416e-09       1.400015278230e+22       1.401051969792e+04       1.739273308642e-10       1.128601590276e+18       3.321949379949e-09       1.158576521413e+44       1.279268021266e+33       7.049059919146e+33       2.665939380292e+43       8.886464600973e+42       2.665939380292e+43       8.886464600973e+42      -3.766236863122e-14       5.041294344192e-04      -9.000000000000e-01       2.682783817214e+43       1.960042779276e+44       1.960042779276e+44       6.533475930643e+43      -4.542036805353e+52       2.457126137054e-06       4.624405211493e+00 
       7.999391317146e+13       1.181196211142e-25       5.793481250294e-09       1.380618962427e+22       1.401051969792e+04       1.751448221803e-10       1.120756296202e+18       3.345203025608e-09       1.126696229756e+44       1.252775155354e+33       6.903078157591e+33       2.592581321145e+43       8.641937737150e+42       2.592581321145e+43       8.641937737150e+42      -3.766236863122e-14       5.030755538611e-04      -9.000000000000e-01       2.608962253455e+43       1.906108719412e+44       1.906108719412e+44       6.353695731101e+43      -4.386350140939e+52       2.536388270507e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790836712e-25       5.835318006575e-09       1.361491370167e+22       1.401051969792e+04       1.763708359355e-10       1.112965537440e+18       3.368619446787e-09       1.095693180972e+44       1.226830940649e+33       6.760119589903e+33       2.521241839345e+43       8.404139464484e+42       2.521241839345e+43       8.404139464484e+42      -3.766236863122e-14       5.020238764360e-04      -9.000000000000e-01       2.537172021195e+43       1.853658751040e+44       1.853658751040e+44       6.178862503201e+43      -4.235999923259e+52       2.615650403961e-06       4.344138228978e+00 
       7.888564869297e+13       1.214618600177e-25       5.875335773453e-09       1.342628778459e+22       1.401051969792e+04       1.776054317871e-10       1.105228934896e+18       3.392199782915e-09       1.065543236164e+44       1.201424014917e+33       6.620121607566e+33       2.451865390150e+43       8.172884633834e+42       2.451865390150e+43       8.172884633834e+42      -3.766236863122e-14       5.009743975384e-04      -9.000000000000e-01       2.467357224740e+43       1.802652036746e+44       1.802652036746e+44       6.008840122226e+43      -4.090803235787e+52       2.694912537414e-06       4.216369457538e+00 
       7.833728767921e+13       1.231682776891e-25       5.917172529735e-09       1.324027515888e+22       1.401051969792e+04       1.788486698096e-10       1.097546112111e+18       3.415945181395e-09       1.036222920661e+44       1.176543251229e+33       6.483022898651e+33       2.384397957229e+43       7.947993190765e+42       2.384397957229e+43       7.947993190765e+42      -3.766236863122e-14       4.999271125722e-04      -9.000000000000e-01       2.399463506463e+43       1.753048862830e+44       1.753048862830e+44       5.843496209177e+43      -3.950583431799e+52       2.774174670867e-06       4.095901758751e+00 
       7.779273850965e+13       1.248986688223e-25       5.957190296613e-09       1.305683961908e+22       1.401051969792e+04       1.801006104983e-10       1.089916695245e+18       3.439856797665e-09       1.007709405738e+44       1.152177753088e+33       6.348763420962e+33       2.318787010608e+43       7.729290035360e+42       2.318787010608e+43       7.729290035360e+42      -3.766236863122e-14       4.988820169510e-04      -9.000000000000e-01       2.333438004485e+43       1.704810608383e+44       1.704810608383e+44       5.682702027694e+43      -3.815169919460e+52       2.853436804320e-06       3.982126709897e+00 
       7.725197468684e+13       1.266533702206e-25       5.999027052894e-09       1.287594546129e+22       1.401051969792e+04       1.813613147718e-10       1.082340313053e+18       3.463935795248e-09       9.799804908440e+43       1.128316849655e+33       6.217284375740e+33       2.254981465767e+43       7.516604885889e+42       2.254981465767e+43       7.516604885889e+42      -3.766236863122e-14       4.978391060980e-04      -9.000000000000e-01       2.269229311514e+43       1.657899715222e+44       1.657899715222e+44       5.526332383829e+43      -3.684397954285e+52       2.932698937774e-06       3.874501663683e+00 
       7.671496989756e+13       1.284327234188e-25       6.040863809176e-09       1.269755747631e+22       1.401051969792e+04       1.826308439752e-10       1.074816596875e+18       3.488183345815e-09       9.530145863146e+43       1.104950091081e+33       6.088528181912e+33       2.192931643868e+43       7.309772146226e+42       2.192931643868e+43       7.309772146226e+42      -3.766236863122e-14       4.967983754459e-04      -9.000000000000e-01       2.206787434822e+43       1.612279658642e+44       1.612279658642e+44       5.374265528568e+43      -3.558108438709e+52       3.011961071227e-06       3.772541093586e+00 
       7.618169801148e+13       1.302370747501e-25       6.084519554861e-09       1.252164094271e+22       1.401051969792e+04       1.839092598830e-10       1.067345180611e+18       3.512600629235e-09       9.267906965640e+43       1.082067243925e+33       5.962438450875e+33       2.132589233074e+43       7.108630776915e+42       2.132589233074e+43       7.108630776915e+42      -3.766236863122e-14       4.957598204371e-04      -9.000000000000e-01       2.146063757320e+43       1.567914918981e+44       1.567914918981e+44       5.226383063036e+43      -3.436147728529e+52       3.091223204680e-06       3.675809270674e+00 
       7.565213307992e+13       1.320667754133e-25       6.126356311142e-09       1.234816162011e+22       1.401051969792e+04       1.851966247022e-10       1.059925700706e+18       3.537188833639e-09       9.012884037369e+43       1.059658286674e+33       5.838959961799e+33       2.073907250936e+43       6.913024169787e+42       2.073907250936e+43       6.913024169787e+42      -3.766236863122e-14       4.947234365234e-04      -9.000000000000e-01       2.087010999705e+43       1.524770953964e+44       1.524770953964e+44       5.082569846316e+43      -3.318367445978e+52       3.170485338133e-06       3.583914038907e+00 
       7.512624933457e+13       1.339221815411e-25       6.170012056828e-09       1.217708574252e+22       1.401051969792e+04       1.864930010751e-10       1.052557796133e+18       3.561949155475e-09       8.764878518120e+43       1.037713405355e+33       5.718038637446e+33       2.016840007808e+43       6.722800026028e+42       2.016840007808e+43       6.722800026028e+42      -3.766236863122e-14       4.936892191661e-04      -9.000000000000e-01       2.029583183645e+43       1.482814171806e+44       1.482814171806e+44       4.942713905794e+43      -3.204624299213e+52       3.249747471586e-06       3.496501501373e+00 
       7.460402118627e+13       1.358036542695e-25       6.211848813109e-09       1.200838001173e+22       1.401051969792e+04       1.877984520826e-10       1.045241108374e+18       3.586882799563e-09       8.523697311413e+43       1.016222989237e+33       5.599621520482e+33       1.961343071278e+43       6.537810237592e+42       1.961343071278e+43       6.537810237592e+42      -3.766236863122e-14       4.926571638360e-04      -9.000000000000e-01       1.973735595988e+43       1.442011905062e+44       1.442011905062e+44       4.806706349986e+43      -3.094779907979e+52       3.329009605040e-06       3.413251465626e+00 
       7.408542322370e+13       1.377115598083e-25       6.255504558794e-09       1.184201159089e+22       1.401051969792e+04       1.891130412472e-10       1.037975281404e+18       3.611990979160e-09       8.289152634162e+43       9.951776266212e+32       5.483656750290e+33       1.907373231568e+43       6.357910771894e+42       1.907373231568e+43       6.357910771894e+42      -3.766236863122e-14       4.916272660135e-04      -9.000000000000e-01       1.919424753941e+43       1.402332385189e+44       1.402332385189e+44       4.674441283746e+43      -2.988700635262e+52       3.408271738493e-06       3.333873524565e+00 
       7.357043021222e+13       1.396462695121e-25       6.299160304479e-09       1.167794809807e+22       1.401051969792e+04       1.904368325359e-10       1.030759961673e+18       3.637274916014e-09       8.061061870468e+43       9.745681007184e+32       5.370093540252e+33       1.854888467897e+43       6.182961559656e+42       1.854888467897e+43       6.182961559656e+42      -3.766236863122e-14       4.905995211882e-04      -9.000000000000e-01       1.866608371217e+43       1.363744717811e+44       1.363744717811e+44       4.545815725826e+43      -2.886257424699e+52       3.487533871946e-06       3.258103671734e+00 
       7.305901709257e+13       1.416081599524e-25       6.344635039568e-09       1.151615759995e+22       1.401051969792e+04       1.917698903637e-10       1.023594798086e+18       3.662735840425e-09       7.839247429430e+43       9.543853856147e+32       5.258882155513e+33       1.803847915758e+43       6.012826385860e+42       1.803847915758e+43       6.012826385860e+42      -3.766236863122e-14       4.895739248593e-04      -9.000000000000e-01       1.815245325114e+43       1.326218858668e+44       1.326218858668e+44       4.420729528686e+43      -2.787325643573e+52       3.566796005399e-06       3.185701367918e+00 
       7.255115897971e+13       1.435976129916e-25       6.388290785253e-09       1.135660860565e+22       1.401051969792e+04       1.931122795962e-10       1.016479441992e+18       3.688374991308e-09       7.623536606878e+43       9.346206423167e+32       5.149973891194e+33       1.754211835105e+43       5.847372783683e+42       1.754211835105e+43       5.847372783683e+42      -3.766236863122e-14       4.885504725354e-04      -9.000000000000e-01       1.765295624490e+43       1.289725590219e+44       1.289725590219e+44       4.299085300526e+43      -2.691784931183e+52       3.646058138853e-06       3.116446990354e+00 
       7.204683116158e+13       1.456150158565e-25       6.433765520342e-09       1.119927006057e+22       1.401051969792e+04       1.944640655534e-10       1.009413547162e+18       3.714193616247e-09       7.413761450905e+43       9.152652148816e+32       5.043321051068e+33       1.705941579409e+43       5.686471931365e+42       1.705941579409e+43       5.686471931365e+42      -3.766236863122e-14       4.875291597346e-04      -9.000000000000e-01       1.716720378635e+43       1.254236498895e+44       1.254236498895e+44       4.180788329453e+43      -2.599519052412e+52       3.725320272306e-06       3.050139607581e+00 
       7.154600909790e+13       1.476607612143e-25       6.477421266027e-09       1.104411134035e+22       1.401051969792e+04       1.958253140123e-10       1.002396769774e+18       3.740192971561e-09       7.209758631098e+43       8.963106266258e+32       4.938876926665e+33       1.658999565570e+43       5.529998551902e+42       1.658999565570e+43       5.529998551902e+42      -3.766236863122e-14       4.865099819840e-04      -9.000000000000e-01       1.669481766983e+43       1.219723952980e+44       1.219723952980e+44       4.065746509740e+43      -2.510415756315e+52       3.804582405759e-06       2.986595032423e+00 
       7.104866841896e+13       1.497352472486e-25       6.522896001115e-09       1.089110224491e+22       1.401051969792e+04       1.971960912103e-10       9.954287683948e+17       3.766374322361e-09       7.011369311369e+43       8.777485764127e+32       4.836595776821e+33       1.613349244653e+43       5.377830815511e+42       1.613349244653e+43       5.377830815511e+42      -3.766236863122e-14       4.854929348204e-04      -9.000000000000e-01       1.623543009668e+43       1.186161081091e+44       1.186161081091e+44       3.953870270114e+43      -2.424366639555e+52       3.883844539212e-06       2.925644113394e+00 
       7.055478492449e+13       1.518388777372e-25       6.568370736204e-09       1.074021299258e+22       1.401051969792e+04       1.985764638488e-10       9.885092039671e+17       3.792738942617e-09       6.818439026289e+43       8.595709350170e+32       4.736432807641e+33       1.568955073432e+43       5.229850244774e+42       1.568955073432e+43       5.229850244774e+42      -3.766236863122e-14       4.844780137898e-04      -9.000000000000e-01       1.578868338889e+43       1.153521751260e+44       1.153521751260e+44       3.845072504014e+43      -2.341267014518e+52       3.963106672665e-06       2.867131231126e+00 
       7.006433458242e+13       1.539720621305e-25       6.615664460696e-09       1.059141421429e+22       1.401051969792e+04       1.999664990958e-10       9.816377397885e+17       3.819288115216e-09       6.630817560821e+43       8.417697415651e+32       4.638344152888e+33       1.525782486716e+43       5.085941622387e+42       1.525782486716e+43       5.085941622387e+42      -3.766236863122e-14       4.834652144476e-04      -9.000000000000e-01       1.535422971059e+43       1.121780550586e+44       1.121780550586e+44       3.739268501771e+43      -2.261015781951e+52       4.042368806119e-06       2.810912971692e+00 
