# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_ur                  15:t_ncdm[0]             16:t_ncdm[1]             17:t_tot              
       1.055772783313e-05      -1.612545648576e+00      -1.209409271020e+00      -1.209409271020e+00      -1.612545646719e+00      -1.237280683746e+00      -1.210336920087e+00      -1.209772630344e+00       5.969657918942e-01       5.964075599218e-01       7.836667040722e-08       7.838697388630e-08       7.838697753384e-08       7.836581351465e-08       7.838276340314e-08       7.838598140318e-08       7.838694727037e-08 
       1.329139185993e-05      -1.612812946449e+00      -1.209609808591e+00      -1.209609808619e+00      -1.612812941125e+00      -1.237485820175e+00      -1.210537609416e+00      -1.209973228086e+00       5.969587310000e-01       5.964005683795e-01       1.241797930706e-07       1.242344049936e-07       1.242344218670e-07       1.241774471440e-07       1.242236897052e-07       1.242325566660e-07       1.242343428250e-07 
       1.673287097058e-05      -1.613185856936e+00      -1.209889651973e+00      -1.209889652021e+00      -1.613185842987e+00      -1.237772060805e+00      -1.210817662870e+00      -1.210253155336e+00       5.969602028263e-01       5.964021437898e-01       1.967585282296e-07       1.968982502315e-07       1.968982737712e-07       1.967524779950e-07       1.968718486502e-07       1.968948652359e-07       1.968980803593e-07 
       2.106543647714e-05      -1.613783300393e+00      -1.210338151064e+00      -1.210338151191e+00      -1.613783263997e+00      -1.238230754561e+00      -1.211266492844e+00      -1.210701788622e+00       5.969608759594e-01       5.964029845245e-01       3.117063793881e-07       3.120626040310e-07       3.120626675039e-07       3.116907932809e-07       3.119967423034e-07       3.120560920888e-07       3.120621827217e-07 
       2.651981329161e-05      -1.614692535345e+00      -1.211021173838e+00      -1.211021174248e+00      -1.614692439735e+00      -1.238929119823e+00      -1.211950000305e+00      -1.211385015067e+00       5.969712061718e-01       5.964135925154e-01       4.936722488481e-07       4.945836471983e-07       4.945837929562e-07       4.936319435012e-07       4.944172509525e-07       4.945708338853e-07       4.945825710115e-07 
       3.338646686884e-05      -1.616224811668e+00      -1.212173033201e+00      -1.212173034217e+00      -1.616224572923e+00      -1.240106633085e+00      -1.213102657335e+00      -1.212537217146e+00       5.969644692581e-01       5.964072646265e-01       7.815767648481e-07       7.838613488206e-07       7.838617394412e-07       7.814759450869e-07       7.834484730790e-07       7.838331362086e-07       7.838586899627e-07 
       4.203107155121e-05      -1.618651158726e+00      -1.213999582164e+00      -1.213999584514e+00      -1.618650556238e+00      -1.241972941071e+00      -1.214930374951e+00      -1.214364305858e+00       5.969534582648e-01       5.963969205247e-01       1.236566494456e-06       1.242328588556e-06       1.242329599906e-06       1.236312091464e-06       1.241291440485e-06       1.242263577651e-06       1.242321930294e-06 
       5.291398406075e-05      -1.622454753810e+00      -1.216869452559e+00      -1.216869459748e+00      -1.622453220167e+00      -1.244903009474e+00      -1.217801849340e+00      -1.217235016801e+00       5.969443247921e-01       5.963888498242e-01       1.954413224166e-06       1.968934118110e-06       1.968936679177e-06       1.953770433487e-06       1.966326146662e-06       1.968781863778e-06       1.968917396059e-06 
       6.661475917335e-05      -1.628461585726e+00      -1.221417662742e+00      -1.221417681133e+00      -1.628457726745e+00      -1.249541137936e+00      -1.222352046886e+00      -1.221784538287e+00       5.969298910331e-01       5.963760898894e-01       3.083996144763e-06       3.120488200218e-06       3.120494680328e-06       3.082381467992e-06       3.113944011849e-06       3.120123849979e-06       3.120446288604e-06 
       8.386301312388e-05      -1.637914712690e+00      -1.228615179328e+00      -1.228615225525e+00      -1.637905046517e+00      -1.256867316229e+00      -1.229551350869e+00      -1.228984079424e+00       5.969106015205e-01       5.963594275734e-01       4.854125550367e-06       4.945529474122e-06       4.945545750060e-06       4.850085840053e-06       4.929147178685e-06       4.944645304683e-06       4.945424646719e-06 
       1.055772783313e-04      -1.652761120808e+00      -1.240019676780e+00      -1.240019792630e+00      -1.652736937498e+00      -1.268441287034e+00      -1.240955212182e+00      -1.240391657536e+00       5.968807662464e-01       5.963337401239e-01       7.609081960941e-06       7.837814503307e-06       7.837855272273e-06       7.598993778690e-06       7.796791092491e-06       7.835644395661e-06       7.837552356410e-06 
       1.329139185993e-04      -1.675959219017e+00      -1.258092331036e+00      -1.258092622111e+00      -1.675898843479e+00      -1.286696519639e+00      -1.259018159381e+00      -1.258468877553e+00       5.968337702425e-01       5.962932673456e-01       1.185032509097e-05       1.242133331843e-05       1.242143534465e-05       1.182521675736e-05       1.231869014522e-05       1.241596358709e-05       1.242067914012e-05 
       1.673287097058e-04      -1.711895689922e+00      -1.286722886047e+00      -1.286723610614e+00      -1.711745631603e+00      -1.315402590227e+00      -1.287611686050e+00      -1.287105878562e+00       5.967624639003e-01       5.962321594498e-01       1.826475788788e-05       1.968466220275e-05       1.968491685537e-05       1.820263324900e-05       1.942836677705e-05       1.967131999204e-05       1.968303565940e-05 
       2.106543647714e-04      -1.766854654686e+00      -1.332104893387e+00      -1.332106701714e+00      -1.766483680530e+00      -1.360372447744e+00      -1.332880432127e+00      -1.332496168052e+00       5.966446238258e-01       5.961301782497e-01       2.768174942704e-05       3.119329456021e-05       3.119392832045e-05       2.752931555121e-05       3.055494979468e-05       3.116002257440e-05       3.118927146149e-05 
       2.651981329161e-04      -1.849035574891e+00      -1.403984707549e+00      -1.403989198378e+00      -1.848127088523e+00      -1.430287449438e+00      -1.404444585803e+00      -1.404384373554e+00       5.964660963669e-01       5.959760014959e-01       4.082133527429e-05       4.942627952258e-05       4.942784833834e-05       4.045249964157e-05       4.784397060397e-05       4.934325647810e-05       4.941641734401e-05 
