# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_lambda         17:(.)rho_ur             18:(.)rho_crit           19:(.)rho_tot            20:(.)p_tot              21:(.)p_tot_prime        22:gr.fac. D             23:gr.fac. f          
       1.000000000000e+14       7.558505436866e-26       4.634785000235e-09       2.157545431520e+22       1.413691787687e+04       1.413691787687e-10       1.413691787687e+18       2.675958803717e-09       2.751560535470e+44       2.447385063296e+33       1.348565247439e+34       6.331470950076e+43       2.110490316692e+43       6.331470950076e+43       2.110490316692e+43       3.394029786245e-08       6.371475634291e+43       4.655002289073e+44       4.655002289073e+44       1.551667429638e+44      -1.339117189622e+53       5.529154103393e-20       2.000000000000e+14 
       9.930486593843e+13       7.664694879749e-26       4.667526809499e-09       2.127654020191e+22       1.413691787687e+04       1.423587630200e-10       1.403864734545e+18       2.694690515343e-09       2.675846458098e+44       2.396701200931e+33       1.320637277943e+34       6.157249276517e+43       2.052416425506e+43       6.157249276517e+43       2.052416425506e+43       3.394029786245e-08       6.196153160761e+43       4.526911629634e+44       4.526911629634e+44       1.508970543159e+44      -1.293216485280e+53       7.713848662893e-08       1.433565615564e+02 
       9.861456399050e+13       7.772376178114e-26       4.700268618762e-09       2.098176735238e+22       1.413691787687e+04       1.433552743612e-10       1.394105992597e+18       2.713553348951e-09       2.602215788102e+44       2.347066970658e+33       1.293287679781e+34       5.987821621879e+43       1.995940540626e+43       5.987821621879e+43       1.995940540626e+43       3.394029786245e-08       6.025654996621e+43       4.402345612292e+44       4.402345612292e+44       1.467448537380e+44      -1.248889111992e+53       1.542769732578e-07       7.167828077820e+01 
       9.792906056653e+13       7.881570291041e-26       4.733010428026e-09       2.069107839205e+22       1.413691787687e+04       1.443587612817e-10       1.384415086988e+18       2.732548222393e-09       2.530611196824e+44       2.298460635233e+33       1.266504475233e+34       5.823056070214e+43       1.941018690071e+43       5.823056070214e+43       1.941018690071e+43       3.394029786245e-08       5.859848392424e+43       4.281207250259e+44       4.281207250259e+44       1.427069083370e+44      -1.206081140942e+53       2.314154598867e-07       4.778552051880e+01 
       9.724832231036e+13       7.992298472059e-26       4.765752237290e-09       2.040441674125e+22       1.413691787687e+04       1.453692726107e-10       1.374791546164e+18       2.751676059950e-09       2.460976933110e+44       2.250860907575e+33       1.240275934628e+34       5.662824335475e+43       1.887608111825e+43       5.662824335475e+43       1.887608111825e+43       3.394029786245e-08       5.698604251563e+43       4.163402225508e+44       4.163402225508e+44       1.387800741787e+44      -1.164740491825e+53       3.085539465155e-07       3.583914038910e+01 
       9.657231609767e+13       8.104582273293e-26       4.800313035958e-09       2.012172660419e+22       1.413691787687e+04       1.463868575190e-10       1.365234901852e+18       2.770937792369e-09       2.393258779894e+44       2.204246941448e+33       1.214590571214e+34       5.507001661632e+43       1.835667220544e+43       5.507001661632e+43       1.835667220544e+43       3.394029786245e-08       5.541797029752e+43       4.048838815339e+44       4.048838815339e+44       1.349612938399e+44      -1.124816869483e+53       3.856924331443e-07       2.867131231128e+01 
       9.590100903443e+13       8.218443549651e-26       4.833054845221e-09       1.984295295809e+22       1.413691787687e+04       1.474115655216e-10       1.355744689028e+18       2.790334356916e-09       2.327404011992e+44       2.158598322326e+33       1.189437136120e+34       5.355466725541e+43       1.785155575180e+43       5.355466725541e+43       1.785155575180e+43       3.394029786245e-08       5.389304637279e+43       3.937427820969e+44       3.937427820969e+44       1.312475940276e+44      -1.086261702718e+53       4.628309197732e-07       2.389276025940e+01 
       9.523436845525e+13       8.333904463080e-26       4.867615643889e-09       1.956804154246e+22       1.413691787687e+04       1.484434464802e-10       1.346320445907e+18       2.809866697414e-09       2.263361355047e+44       2.113895058459e+33       1.164804613432e+34       5.208101542478e+43       1.736033847493e+43       5.208101542478e+43       1.736033847493e+43       3.394029786245e-08       5.241008343948e+43       3.829082498075e+44       3.829082498075e+44       1.276360832646e+44      -1.049028085197e+53       5.399694064020e-07       2.047950879377e+01 
       9.457236192179e+13       8.450987486881e-26       4.900357453153e-09       1.929693884858e+22       1.413691787687e+04       1.494825506056e-10       1.336961713910e+18       2.829535764296e-09       2.201080945604e+44       2.070117572111e+33       1.140682215369e+34       5.064791374280e+43       1.688263791427e+43       5.064791374280e+43       1.688263791427e+43       3.394029786245e-08       5.096792686635e+43       3.723718489258e+44       3.723718489258e+44       1.241239496374e+44      -1.013070718390e+53       6.171078930308e-07       1.791957019455e+01 
       9.391495722125e+13       8.569715410084e-26       4.934918251820e-09       1.902959210904e+22       1.413691787687e+04       1.505289284598e-10       1.327668037646e+18       2.849342514646e-09       2.140514292293e+44       2.027246690991e+33       1.117059377561e+34       4.925424640007e+43       1.641808213336e+43       4.925424640007e+43       1.641808213336e+43       3.394029786245e-08       4.956545379390e+43       3.621253758365e+44       3.621253758365e+44       1.207084586078e+44      -9.783458564563e+52       6.942463796596e-07       1.592850683960e+01 
