# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=6
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_ur                  15:t_ncdm[0]             16:t_ncdm[1]             17:t_tot              
       1.055772783313e-05      -1.599178404436e+00      -1.199383812215e+00      -1.199383812208e+00      -1.599178404087e+00      -1.270081171290e+00      -1.202205186333e+00      -1.200036715370e+00       6.002636213185e-01       5.992505837816e-01       5.952327926595e-08       5.953110327446e-08       5.953110666745e-08       5.952293857017e-08       5.952789348392e-08       5.953031599795e-08       5.953108518622e-08 
       1.329139185993e-05      -1.599315830701e+00      -1.199486901947e+00      -1.199486901944e+00      -1.599315829583e+00      -1.270190331802e+00      -1.202308517564e+00      -1.200139861207e+00       6.002633136109e-01       5.992503491217e-01       9.432859724398e-08       9.435042347750e-08       9.435043446511e-08       9.432761762508e-08       9.434185793716e-08       9.434894221981e-08       9.435037726040e-08 
       1.673287097058e-05      -1.599541406932e+00      -1.199656133840e+00      -1.199656133837e+00      -1.599541403903e+00      -1.270369514576e+00      -1.202478144570e+00      -1.200309185113e+00       6.002608775091e-01       5.992480175543e-01       1.494779414831e-07       1.495352472142e-07       1.495352682975e-07       1.494753667005e-07       1.495134040385e-07       1.495322945246e-07       1.495351233366e-07 
       2.106543647714e-05      -1.599883842600e+00      -1.199913093544e+00      -1.199913093553e+00      -1.599883834486e+00      -1.270641533626e+00      -1.202735698867e+00      -1.200566284276e+00       6.002607677662e-01       5.992480812448e-01       2.368475936180e-07       2.369968729970e-07       2.369969271832e-07       2.368408543724e-07       2.369409281400e-07       2.369907759832e-07       2.369965563713e-07 
       2.651981329161e-05      -1.600439002897e+00      -1.200329826951e+00      -1.200329827064e+00      -1.600438980941e+00      -1.271082629556e+00      -1.203153384386e+00      -1.200983243696e+00       6.002574319439e-01       5.992450431145e-01       3.752225599898e-07       3.756124530439e-07       3.756125955514e-07       3.752048132444e-07       3.754672739684e-07       3.755988595035e-07       3.756116362866e-07 
       3.338646686884e-05      -1.601304322988e+00      -1.200979669168e+00      -1.200979669441e+00      -1.601304268277e+00      -1.271770289201e+00      -1.203804693882e+00      -1.201633437499e+00       6.002556935388e-01       5.992437175776e-01       5.943311214369e-07       5.953054385035e-07       5.953057892636e-07       5.942868446711e-07       5.949458619195e-07       5.952750857161e-07       5.953034089925e-07 
       4.203107155121e-05      -1.602680316131e+00      -1.202013881850e+00      -1.202013882318e+00      -1.602680178517e+00      -1.272864202229e+00      -1.204841172054e+00      -1.202668207430e+00       6.002515058252e-01       5.992402213735e-01       9.410233017517e-07       9.434902236907e-07       9.434911071386e-07       9.409112777673e-07       9.425829965359e-07       9.434190253215e-07       9.434851047968e-07 
       5.291398406075e-05      -1.604863739904e+00      -1.203657091419e+00      -1.203657093815e+00      -1.604863383330e+00      -1.274601039139e+00      -1.206487813138e+00      -1.204312298010e+00       6.002434935377e-01       5.992333159782e-01       1.489071283290e-06       1.495313074343e-06       1.495315343558e-06       1.488786607149e-06       1.493021189526e-06       1.495141747512e-06       1.495300186359e-06 
       6.661475917335e-05      -1.608322273594e+00      -1.206265143010e+00      -1.206265149294e+00      -1.608321374211e+00      -1.277354706562e+00      -1.209100910245e+00      -1.206921734599e+00       6.002295336912e-01       5.992210929705e-01       2.354156145028e-06       2.369870209119e-06       2.369875930670e-06       2.353439474972e-06       2.364107491864e-06       2.369451963522e-06       2.369837824681e-06 
       8.386301312388e-05      -1.613759135045e+00      -1.210378131516e+00      -1.210378147352e+00      -1.613756879753e+00      -1.281689903748e+00      -1.213220870716e+00      -1.211036875404e+00       6.002142154760e-01       5.992084954311e-01       3.716519140114e-06       3.755915799447e-06       3.755930129708e-06       3.714722954570e-06       3.741480898071e-06       3.754890537895e-06       3.755834693880e-06 
       1.055772783313e-04      -1.622349420330e+00      -1.216909475835e+00      -1.216909515561e+00      -1.622343769637e+00      -1.288555465090e+00      -1.219760784498e+00      -1.217571557611e+00       6.001856190067e-01       5.991842027613e-01       5.853775315034e-06       5.952518257796e-06       5.952554202521e-06       5.849277018164e-06       5.916344077102e-06       5.949979291297e-06       5.952315120193e-06 
       1.329139185993e-04      -1.635844336271e+00      -1.227252757991e+00      -1.227252858465e+00      -1.635830191560e+00      -1.299381087984e+00      -1.230111324597e+00      -1.227919925686e+00       6.001428073067e-01       5.991481869632e-01       9.186412441745e-06       9.433592582536e-06       9.433682622491e-06       9.175163916184e-06       9.342985960882e-06       9.427277595142e-06       9.433084242348e-06 
       1.673287097058e-04      -1.656947349863e+00      -1.243634648269e+00      -1.243634896741e+00      -1.656912081695e+00      -1.316410272218e+00      -1.246489037294e+00      -1.244309369979e+00       6.000781725107e-01       5.990942265115e-01       1.433284435389e-05       1.495002010416e-05       1.495024515413e-05       1.430481267666e-05       1.472349360868e-05       1.493428158016e-05       1.494875094847e-05 
       2.106543647714e-04      -1.689734815959e+00      -1.269608911279e+00      -1.269609533187e+00      -1.689647115211e+00      -1.343119674948e+00      -1.272417160047e+00      -1.270294370195e+00       5.999707887704e-01       5.990035927529e-01       2.215440434122e-05       2.369099772948e-05       2.369155928176e-05       2.208481563237e-05       2.312561843387e-05       2.365167089312e-05       2.368783741960e-05 
       2.651981329161e-04      -1.740011556776e+00      -1.310751819946e+00      -1.310753368033e+00      -1.739794810034e+00      -1.384705144027e+00      -1.313388240415e+00      -1.311451214464e+00       5.998051195475e-01       5.988640019564e-01       3.373427386130e-05       3.753982710820e-05       3.754122275079e-05       3.356272429862e-05       3.613384879156e-05       3.744155336767e-05       3.753199699575e-05 
       3.338646686884e-04      -1.815623834471e+00      -1.375933415368e+00      -1.375937254581e+00      -1.815093156695e+00      -1.448813544162e+00      -1.378051233836e+00      -1.376647378394e+00       5.995426970366e-01       5.986417686727e-01       5.012905325099e-05       5.947684109828e-05       5.948028830751e-05       4.971073928067e-05       5.600026810881e-05       5.923140048263e-05       5.945759210050e-05 
       4.203107155121e-04      -1.925697942282e+00      -1.479161365082e+00      -1.479170789078e+00      -1.924418101446e+00      -1.546032733798e+00      -1.479845287962e+00      -1.479880280993e+00       5.991318899400e-01       5.982918682474e-01       7.155122477110e-05       9.421511532497e-05       9.422354612194e-05       7.054872537240e-05       8.569602528249e-05       9.360329169748e-05       9.416838039751e-05 
       5.291398406075e-04      -2.077449959387e+00      -1.642568705513e+00      -1.642591631110e+00      -2.074435580518e+00      -1.689673358157e+00      -1.639469172139e+00      -1.643252931372e+00       5.984948016050e-01       5.977446289357e-01       9.537150790576e-05       1.491985507180e-04       1.492188545098e-04       9.303396895275e-05       1.286190866652e-04       1.476788281922e-04       1.490872941593e-04 
       6.661475917335e-04      -2.267643846579e+00      -1.901059919520e+00      -1.901114764220e+00      -2.260806653615e+00      -1.893271950708e+00      -1.888270972181e+00      -1.901593277947e+00       5.975201391043e-01       5.968968175486e-01       1.124133548471e-04       2.361625575852e-04       2.362102782152e-04       1.071939477998e-04       1.875488281509e-04       2.324099671683e-04       2.359057541540e-04 
       8.386301312388e-04      -2.466275611313e+00      -2.309559425847e+00      -2.309686988980e+00      -2.451664043240e+00      -2.163429023723e+00      -2.272530849665e+00      -2.309651397199e+00       5.960522485496e-01       5.955954152440e-01       1.031871108085e-04       3.735581442990e-04       3.736660934451e-04       9.229669890804e-05       2.626367150778e-04       3.643785048027e-04       3.729931168529e-04 
       1.055772783313e-03      -2.599111354451e+00      -2.954157756056e+00      -2.954442380869e+00      -2.570658671681e+00      -2.486604296036e+00      -2.857882198168e+00      -2.953168678168e+00       5.938980158524e-01       5.936338905909e-01       4.416477396216e-05       5.902872063245e-04       5.905173578059e-04       2.368094153796e-05       3.502037618788e-04       5.681571848034e-04       5.891310421560e-04 
       1.329139185993e-03      -2.567745236450e+00      -3.969172920760e+00      -3.969770716228e+00      -2.519560480474e+00      -2.818744118702e+00      -3.732084563616e+00      -3.965877171226e+00       5.908394811025e-01       5.907519819048e-01      -5.156762859516e-05       9.313994289838e-04       9.318482447337e-04      -8.480449193381e-05       4.501302613141e-04       8.792164987855e-04       9.292653042573e-04 
       1.673287097058e-03      -2.381313806084e+00      -5.562837386293e+00      -5.564001523043e+00      -2.313113705380e+00      -3.113255699974e+00      -5.003491697924e+00      -5.555241735638e+00       5.866455747447e-01       5.866530140137e-01      -6.451044060975e-05       1.466667598418e-03       1.467440650883e-03      -1.103391624667e-04       5.934864076896e-04       1.347528913252e-03       1.463172104904e-03 
       2.106543647714e-03      -2.316261166607e+00      -8.055721895370e+00      -8.057873029702e+00      -2.229146160792e+00      -3.425706070498e+00      -6.796277471025e+00      -8.040984673934e+00       5.810572058474e-01       5.810508402293e-01       1.174575811597e-04       2.303372872735e-03       2.304538895647e-03       5.829977883020e-05       8.585664061919e-04       2.043019665434e-03       2.297948898634e-03 
       2.651981329161e-03      -2.503576410147e+00      -1.193654368281e+01      -1.194059809642e+01      -2.377230502154e+00      -3.942428313406e+00      -9.256971463942e+00      -1.191020843444e+01       5.736687510682e-01       5.736299091965e-01       1.205260843923e-04       3.604898226556e-03       3.606603892187e-03       5.514029886639e-05       1.230717648712e-03       3.064418644204e-03       3.595610416727e-03 
       3.338646686884e-03      -2.380193931462e+00      -1.794089757108e+01      -1.794941075413e+01      -2.224761896874e+00      -4.587985615161e+00      -1.259570587289e+01      -1.789542714302e+01       5.639311918559e-01       5.639175829569e-01      -9.997601571352e-05       5.617190291888e-03       5.619978170711e-03      -1.145638538601e-04       1.490799929883e-03       4.543526311684e-03       5.601100913572e-03 
       4.203107155121e-03      -2.410845835061e+00      -2.715985120437e+01      -2.717853094792e+01      -2.249267461713e+00      -5.102394720829e+00      -1.710833514625e+01      -2.708549484177e+01       5.513807466936e-01       5.513647739804e-01       8.840524461062e-05       8.705621034828e-03       8.710072710696e-03       9.633194189411e-05       1.849524936684e-03       6.613494842118e-03       8.679333311002e-03 
       5.291398406075e-03      -2.215710208207e+00      -4.118066727354e+01      -4.122243912741e+01      -2.091842338160e+00      -5.682784224088e+00      -2.299651749443e+01      -4.106466373361e+01       5.355080816020e-01       5.355019702678e-01      -1.253963981720e-04       1.340195293585e-02       1.340896924219e-02       2.192833924725e-05       2.173322310700e-03       9.361199443327e-03       1.335757137114e-02 
       6.661475917335e-03      -2.145362205451e+00      -6.225100497027e+01      -6.234730960257e+01      -2.037200413474e+00      -6.146732019141e+00      -3.018516434094e+01      -6.208291687133e+01       5.157918533736e-01       5.157871724016e-01      -2.809403223117e-04       2.046088337199e-02       2.047214676329e-02      -1.190146097219e-04       2.535852524846e-03       1.287541183772e-02       2.038748939898e-02 
       8.386301312388e-03      -2.081185373190e+00      -9.344031111523e+01      -9.366458347252e+01      -1.935508151736e+00      -6.353556049671e+00      -3.846404703996e+01      -9.322574054460e+01       4.917133666987e-01       4.917105483131e-01      -2.545947609614e-04       3.091757747774e-02       3.093577811910e-02      -8.648592648804e-05       1.873338523545e-03       1.697091366648e-02       3.079718147667e-02 
       1.055772783313e-02      -1.946865840825e+00      -1.387107943675e+02      -1.392339251254e+02      -1.849929547432e+00      -4.169802956577e+00      -4.575485761360e+01      -1.385044396417e+02       4.627378665404e-01       4.627371518218e-01       2.159241574088e-04       4.611904072164e-02       4.614892588630e-02       1.500845641562e-04       2.195701389130e-03       2.056317406862e-02       4.592454316072e-02 
