# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1.5
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_ur                  15:t_ncdm[0]             16:t_ncdm[1]             17:t_tot              
       1.055772783313e-05      -1.655036249705e+00      -1.241277283801e+00      -1.241277283808e+00      -1.655036244727e+00      -1.253211845307e+00      -1.241641932549e+00      -1.241505414432e+00       5.864023036079e-01       5.860650906312e-01       9.702181255680e-08       9.706462749872e-08       9.706463077370e-08       9.702034651364e-08       9.706007968687e-08       9.706344966264e-08       9.706459244697e-08 
       1.329139185993e-05      -1.655437123460e+00      -1.241578106249e+00      -1.241578106307e+00      -1.655437109717e+00      -1.253515526875e+00      -1.241942840714e+00      -1.241806292060e+00       5.863964293339e-01       5.860592841423e-01       1.537227286364e-07       1.538358956204e-07       1.538359088504e-07       1.537188120387e-07       1.538247312434e-07       1.538338145790e-07       1.538358112398e-07 
       1.673287097058e-05      -1.656031172514e+00      -1.242024057219e+00      -1.242024057312e+00      -1.656031136959e+00      -1.253965683355e+00      -1.242388916668e+00      -1.242252324648e+00       5.863973936017e-01       5.860603492569e-01       2.435276840399e-07       2.438137083738e-07       2.438137294811e-07       2.435176702096e-07       2.437867804177e-07       2.438100261910e-07       2.438134914513e-07 
       2.106543647714e-05      -1.656976855217e+00      -1.242734378551e+00      -1.242734378800e+00      -1.656976763435e+00      -1.254682619543e+00      -1.243099430064e+00      -1.242962775704e+00       5.863977425207e-01       5.860608599554e-01       3.856958084570e-07       3.864188787590e-07       3.864189355924e-07       3.856702260284e-07       3.863526877736e-07       3.864120431477e-07       3.864183437490e-07 
       2.651981329161e-05      -1.658454779093e+00      -1.243845551005e+00      -1.243845551706e+00      -1.658454541060e+00      -1.255803905961e+00      -1.244210882122e+00      -1.244074150269e+00       5.864031624976e-01       5.860665423415e-01       6.106071067312e-07       6.124347691583e-07       6.124349055448e-07       6.105415834751e-07       6.122700025910e-07       6.124216809650e-07       6.124334279359e-07 
       3.338646686884e-05      -1.660848777252e+00      -1.245647774968e+00      -1.245647776743e+00      -1.660848182064e+00      -1.257622086547e+00      -1.246013526603e+00      -1.245876700272e+00       5.863980434476e-01       5.860618244384e-01       9.660441073981e-07       9.706390113287e-07       9.706393646767e-07       9.658800608097e-07       9.702309111294e-07       9.706117334681e-07       9.706356733551e-07 
       4.203107155121e-05      -1.664633570040e+00      -1.248503450094e+00      -1.248503454395e+00      -1.664632069200e+00      -1.260501692175e+00      -1.248869750183e+00      -1.248732886819e+00       5.863901344339e-01       5.860545612260e-01       1.526767576565e-06       1.538343769055e-06       1.538344674398e-06       1.526354506967e-06       1.537322607114e-06       1.538283921358e-06       1.538335410054e-06 
       5.291398406075e-05      -1.670606779816e+00      -1.253026415905e+00      -1.253026428104e+00      -1.670602980591e+00      -1.265059205731e+00      -1.253393299220e+00      -1.253256651278e+00       5.863785584511e-01       5.860440102834e-01       2.408954447927e-06       2.438073445020e-06       2.438075766789e-06       2.407914275433e-06       2.435513021379e-06       2.437937385508e-06       2.438052515414e-06 
       6.661475917335e-05      -1.679999029205e+00      -1.260178555098e+00      -1.260178586023e+00      -1.679989487179e+00      -1.272257685604e+00      -1.260545672125e+00      -1.260410022261e+00       5.863655772874e-01       5.860326443131e-01       3.790964220567e-06       3.864010982688e-06       3.864016782550e-06       3.788358226200e-06       3.857598113141e-06       3.863692952591e-06       3.863958552992e-06 
       8.386301312388e-05      -1.694751981351e+00      -1.271512986076e+00      -1.271513063641e+00      -1.694728118877e+00      -1.283645032114e+00      -1.271878781155e+00      -1.271746329700e+00       5.863452246532e-01       5.860148278369e-01       5.941151468807e-06       6.123885826732e-06       6.123900336079e-06       5.934651424625e-06       6.107841869985e-06       6.123124149651e-06       6.123754796622e-06 
