# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1.5
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       1.065297608949e-05      -1.667755927333e+00      -1.250817054209e+00      -1.250817054259e+00      -1.250398231624e-01      -1.667755921814e+00      -1.262843335353e+00      -1.251184504828e+00      -1.080431152796e+00       5.832236500052e-01       5.828898657428e-01       9.769879458605e-08       9.774721687917e-08       9.774722992264e-08       9.774718527989e-08       9.769719022154e-08       9.774212975591e-08       9.774592083805e-08       9.774718528049e-08 
       1.341130231029e-05      -1.668072845528e+00      -1.251054906953e+00      -1.251054907013e+00      -1.250493470639e-01      -1.668072831246e+00      -1.263083442414e+00      -1.251422425488e+00      -1.080634445844e+00       5.832395103087e-01       5.829057862529e-01       1.548055282113e-07       1.549214696293e-07       1.549214808121e-07       1.549213815206e-07       1.548014678268e-07       1.549100187874e-07       1.549194326527e-07       1.549213815230e-07 
       1.688382928368e-05      -1.668668110363e+00      -1.251501767672e+00      -1.251501767756e+00      -1.250618081111e-01      -1.668668074273e+00      -1.263534517703e+00      -1.251869411876e+00      -1.081015554414e+00       5.832413511348e-01       5.829077234505e-01       2.452459752823e-07       2.455352565189e-07       2.455352742672e-07       2.455350343238e-07       2.452357620896e-07       2.455079626883e-07       2.455316097406e-07       2.455350343333e-07 
       2.125548173362e-05      -1.669642485530e+00      -1.252233638169e+00      -1.252233638422e+00      -1.250797727479e-01      -1.669642391735e+00      -1.264273202248e+00      -1.252601479608e+00      -1.081639365209e+00       5.832363835499e-01       5.829029209702e-01       3.884046417290e-07       3.891447921972e-07       3.891448488871e-07       3.891442433449e-07       3.883783845093e-07       3.890768641466e-07       3.891378513968e-07       3.891442433829e-07 
       2.675906609438e-05      -1.671126411016e+00      -1.253349314535e+00      -1.253349315216e+00      -1.251101697229e-01      -1.671126171375e+00      -1.265399041776e+00      -1.253717439288e+00      -1.082590771391e+00       5.832432658351e-01       5.829100593280e-01       6.148954754473e-07       6.167564878903e-07       6.167566263787e-07       6.167551223196e-07       6.148288834571e-07       6.165888314451e-07       6.167432976776e-07       6.167551224706e-07 
       3.368766830209e-05      -1.673573989382e+00      -1.255191938962e+00      -1.255191940795e+00      -1.251554684016e-01      -1.673573380549e+00      -1.267257943642e+00      -1.255560485925e+00      -1.084161343658e+00       5.832293647115e-01       5.828965692199e-01       9.727639460112e-07       9.774796287469e-07       9.774799911192e-07       9.774761992472e-07       9.725954266748e-07       9.770591493095e-07       9.774511423961e-07       9.774761998479e-07 
       4.241026168960e-05      -1.677358635717e+00      -1.258047813093e+00      -1.258047817869e+00      -1.252297015455e-01      -1.677357100137e+00      -1.270137664191e+00      -1.258416903133e+00      -1.086596171398e+00       5.832288288151e-01       5.828966773782e-01       1.537353065753e-06       1.549196994867e-06       1.549197917741e-06       1.549188434961e-06       1.536929164319e-06       1.548148765164e-06       1.549135812303e-06       1.549188437349e-06 
       5.339135616187e-05      -1.683368211886e+00      -1.262598946536e+00      -1.262598958952e+00      -1.253461756082e-01      -1.683364333064e+00      -1.274723365704e+00      -1.262968604832e+00      -1.090476032233e+00       5.832196460746e-01       5.828885226350e-01       2.425485603603e-06       2.455279193818e-06       2.455281530511e-06       2.455257730780e-06       2.424418648524e-06       2.452650287574e-06       2.455140051091e-06       2.455257740261e-06 
       6.721573504233e-05      -1.692847611025e+00      -1.269818644986e+00      -1.269818676756e+00      -1.255305027225e-01      -1.692837870744e+00      -1.281989441016e+00      -1.270188492822e+00      -1.096630764782e+00       5.832028154610e-01       5.828733106440e-01       3.816499658820e-06       3.891265099646e-06       3.891271058340e-06       3.891211397249e-06       3.813826747505e-06       3.884678448494e-06       3.890938584269e-06       3.891211434837e-06 
       8.461959691722e-05      -1.707716715188e+00      -1.281245701522e+00      -1.281245781137e+00      -1.258235483203e-01      -1.707692362766e+00      -1.293468786278e+00      -1.281614101712e+00      -1.106372367325e+00       5.831811615975e-01       5.828541990136e-01       5.979996664307e-06       6.167058246050e-06       6.167073159978e-06       6.166923962247e-06       5.973330531803e-06       6.150577686202e-06       6.166275412986e-06       6.166924110913e-06 
       1.065297608949e-04      -1.730931710140e+00      -1.299344420524e+00      -1.299344619785e+00      -1.262886285681e-01      -1.730870969791e+00      -1.311597284371e+00      -1.299706096194e+00      -1.121801563703e+00       5.831505150948e-01       5.828275476295e-01       9.306890185026e-06       9.773724520060e-06       9.773761859527e-06       9.773389419280e-06       9.290331548586e-06       9.732500381388e-06       9.771821967190e-06       9.773390005091e-06 
       1.341130231029e-04      -1.766897747341e+00      -1.328032270668e+00      -1.328032770370e+00      -1.270252530567e-01      -1.766746751903e+00      -1.340199629891e+00      -1.328372095956e+00      -1.146257525156e+00       5.830999573405e-01       5.827832465774e-01       1.432818522611e-05       1.548924422341e-05       1.548933751445e-05       1.548841018234e-05       1.428730315335e-05       1.538618088137e-05       1.548456488922e-05       1.548841247737e-05 
       1.688382928368e-04      -1.821836487450e+00      -1.373481907148e+00      -1.373483141885e+00      -1.281932968707e-01      -1.821463732787e+00      -1.385184418129e+00      -1.373759287485e+00      -1.185001802470e+00       5.830237510648e-01       5.827167507241e-01       2.167590246947e-05       2.454626468105e-05       2.454649699177e-05       2.454419946790e-05       2.157603651234e-05       2.428917284665e-05       2.453468271178e-05       2.454420837981e-05 
       2.125548173362e-04      -1.903940858265e+00      -1.445508253298e+00      -1.445511352580e+00      -1.300434642280e-01      -1.903028906502e+00      -1.455656447711e+00      -1.445616598932e+00      -1.246399270493e+00       5.828997829877e-01       5.826076936588e-01       3.186441114710e-05       3.889665044448e-05       3.889722690224e-05       3.889157710319e-05       3.162437892304e-05       3.825731457181e-05       3.886784125275e-05       3.889161125004e-05 
       2.675906609438e-04      -2.022216659023e+00      -1.559614616444e+00      -1.559622294436e+00      -1.329748164636e-01      -2.020020728985e+00      -1.565292188112e+00      -1.559280109833e+00      -1.343661229255e+00       5.827060932283e-01       5.824364573878e-01       4.465072060001e-05       6.163061046848e-05       6.163203003495e-05       6.161830621691e-05       4.408908010720e-05       6.004939857885e-05       6.155880259195e-05       6.161843451942e-05 
       3.368766830209e-04      -2.182407685920e+00      -1.740340434788e+00      -1.740359308904e+00      -1.376188929273e-01      -2.177250531661e+00      -1.734066521919e+00      -1.738867986419e+00      -1.497694917759e+00       5.824068448338e-01       5.821699898499e-01       5.756889006643e-05       9.763728213547e-05       9.764073832301e-05       9.760804399240e-05       5.631153216734e-05       9.376057372206e-05       9.745821081123e-05       9.760851298009e-05 
       4.241026168960e-04      -2.376939543311e+00      -2.026489432759e+00      -2.026535354748e+00      -1.449739436932e-01      -2.365302399451e+00      -1.989721016424e+00      -2.022131065261e+00      -1.741551785683e+00       5.819457519628e-01       5.817544001619e-01       6.343980549035e-05       1.546438851153e-04       1.546521528166e-04       1.545765977446e-04       6.082797378528e-05       1.452678732936e-04       1.541977345806e-04       1.545782502873e-04 
       5.339135616187e-04      -2.567486069020e+00      -2.479306946060e+00      -2.479416174776e+00      -1.566185159676e-01      -2.542867771795e+00      -2.367686429496e+00      -2.467707235584e+00      -2.127383258479e+00       5.812493554787e-01       5.811160540820e-01       4.856756536685e-05       2.448471944486e-04       2.448664361868e-04       2.446997791489e-04       4.382411629017e-05       2.226426069763e-04       2.437386725906e-04       2.447053432046e-04 
       6.721573504233e-04      -2.671872729659e+00      -3.195304385393e+00      -3.195556677380e+00      -1.750423223412e-01      -2.624972232659e+00      -2.907345272689e+00      -3.165726018524e+00      -2.737352854677e+00       5.802171845134e-01       5.801478242903e-01      -5.044917965979e-07       3.874575241090e-04       3.875004995925e-04       3.871570324093e-04      -7.040296162287e-06       3.365102587279e-04       3.847170916813e-04       3.871748236937e-04 
       8.461959691722e-04      -2.602889804208e+00      -4.326147514816e+00      -4.326705527294e+00      -2.041641384350e-01      -2.527723385939e+00      -3.643606829419e+00      -4.252506153643e+00      -3.700577823958e+00       5.787283597818e-01       5.787122264123e-01      -6.717911996383e-05       6.126512297443e-04       6.127416367709e-04       6.120932477030e-04      -7.065149313039e-05       5.009797682208e-04       6.059330047625e-04       6.121471929352e-04 
       1.065297608949e-03      -2.418497548412e+00      -6.109383735850e+00      -6.110541675087e+00      -2.501238251337e-01      -2.328453888076e+00      -4.602125713552e+00      -5.929649229717e+00      -5.219324981462e+00       5.766357027127e-01       5.766414654021e-01      -7.292722826151e-05       9.676622907631e-04       9.678376592464e-04       9.667054309079e-04      -6.133939177491e-05       7.372829227285e-04       9.514077841975e-04       9.668610958962e-04 
       1.341130231029e-03      -2.393059151150e+00      -8.915473814672e+00      -8.917677012501e+00      -3.224815205372e-01      -2.327465273959e+00      -5.826164513383e+00      -8.486735516125e+00      -7.608998734974e+00       5.737413313154e-01       5.737382594576e-01       2.787285865907e-06       1.526104881956e-03       1.526413925620e-03       1.524417394715e-03       3.570101895877e-05       1.081219104810e-03       1.487541671518e-03       1.524847967607e-03 
       1.688382928368e-03      -2.459405731735e+00      -1.331866521922e+01      -1.332246534453e+01      -4.360219738693e-01      -2.437162566652e+00      -7.446153650004e+00      -1.232651824982e+01      -1.135807077236e+01       5.697483827970e-01       5.697407597113e-01      -6.947646661183e-05       2.402037973870e-03       2.402536328272e-03       2.398667387033e-03      -3.903068950298e-05       1.578731050896e-03       2.312989673420e-03       2.399818740036e-03 
       2.125548173362e-03      -2.263901960662e+00      -2.020234198959e+01      -2.020847144750e+01      -6.135049979041e-01      -2.257124459100e+00      -9.642457539188e+00      -1.799676704627e+01      -1.721763571968e+01       5.642981370974e-01       5.642962054832e-01      -4.490498390145e-05       3.770867659985e-03       3.771627497521e-03       3.764003750093e-03      -4.387187629175e-05       2.241149446776e-03       3.571868171312e-03       3.767004036579e-03 
       2.675906609438e-03      -2.374220690735e+00      -3.091135565160e+01      -3.092147202522e+01      -8.895401145360e-01      -2.334842314388e+00      -1.237154124412e+01      -2.624175958423e+01      -2.633164748729e+01       5.570018985400e-01       5.569967644501e-01      -3.584475115851e-05       5.899580439582e-03       5.900739610050e-03       5.885068822433e-03      -5.375966037831e-05       3.056048612430e-03       5.468968836166e-03       5.892735218244e-03 
       3.368766830209e-03      -2.255624597533e+00      -4.746843632286e+01      -4.748679909640e+01      -1.315981644740e+00      -2.230725730182e+00      -1.550880633346e+01      -3.806191493847e+01      -4.042048716660e+01       5.474034975527e-01       5.474003525105e-01       9.252271334927e-06       9.189767685793e-03       9.191619013150e-03       9.158427629068e-03       3.843093716522e-05       4.077607103923e-03       8.279265153760e-03       9.177717403563e-03 
       4.241026168960e-03      -2.181354465501e+00      -7.287391468398e+01      -7.290831238573e+01      -1.969343723516e+00      -2.150386217122e+00      -1.903365255711e+01      -5.465238129875e+01      -6.203535029938e+01       5.350389035006e-01       5.350366774678e-01       5.396162876808e-05       1.423702105827e-02       1.423993400164e-02       1.416766935481e-02       2.368206938391e-05       5.272776546940e-03       1.234084921930e-02       1.421558027392e-02 
       5.339135616187e-03      -2.117098021088e+00      -1.114902784565e+02      -1.115570798143e+02      -2.959793102850e+00      -2.094087422200e+00      -2.201882267881e+01      -7.710579889660e+01      -9.488525526373e+01       5.194138700840e-01       5.194128371420e-01      -1.849374602947e-06       2.190747268258e-02       2.191200980409e-02       2.175074584476e-02       3.251802967522e-05       5.413021174325e-03       1.803057476863e-02       2.186832106000e-02 
       6.721573504233e-03      -2.047617479857e+00      -1.694959546434e+02      -1.696328930373e+02      -4.440963795029e+00      -2.017235469558e+00      -1.969582720938e+01      -1.063119393623e+02      -1.442253631772e+02       5.000167713170e-01       5.000164341338e-01      -1.906776021646e-04       3.342851045221e-02       3.343563229115e-02       3.307456732507e-02      -1.295133349758e-04       5.452948395670e-03       2.604550053287e-02       3.335957817419e-02 
       8.461959691722e-03      -1.922922452005e+00      -2.553363547458e+02      -2.556275680485e+02      -6.617827458751e+00      -1.905463686498e+00      -2.208748964571e+01      -1.425473785736e+02      -2.172568366760e+02       4.763723019253e-01       4.763721857083e-01      -5.080878297209e-05       5.048069285406e-02       5.049189024720e-02       4.968172393400e-02      -4.618887926164e-05       8.583602890881e-03       3.673135370953e-02       5.036317157066e-02 
       1.065297608949e-02      -1.808282578150e+00      -3.799403431033e+02      -3.805761659739e+02      -9.741020029767e+00      -1.791848461042e+00      -2.180043500516e+01      -1.831288796710e+02      -3.233082253324e+02       4.479621111211e-01       4.479620447649e-01      -4.785286859025e-05       7.524497023843e-02       7.526267054875e-02       7.343653841281e-02      -4.356035924981e-05       8.281444143777e-03       4.989682778508e-02       7.503907575805e-02 
       1.341130231029e-02      -1.672503308497e+00      -5.562232464806e+02      -5.576260435090e+02      -1.407756071885e+01      -1.657301142795e+00      -2.177859087829e+01      -2.255596793653e+02      -4.734839827416e+02       4.143252856900e-01       4.143252436083e-01      -4.443852604002e-05       1.103154346869e-01       1.103436190452e-01       1.062693279127e-01      -4.046714835341e-05       8.357641157117e-03       6.528863295833e-02       1.099596685040e-01 
       1.688382928364e-02      -1.514291726062e+00      -7.970657195330e+02      -8.001377608917e+02      -1.982152171011e+01      -1.500525583088e+00      -2.047333128140e+01      -2.689349293061e+02      -6.790279164263e+02       3.751313957721e-01       3.751313701809e-01      -4.046254024158e-05       1.583226675217e-01       1.583681011288e-01       1.494418812776e-01      -3.686583843612e-05       7.967871595548e-03       7.999862724826e-02       1.577094233654e-01 
       2.125548150196e-02      -1.333735706493e+00      -1.110778920342e+03      -1.117299549681e+03      -2.691974852033e+01      -1.321608757085e+00      -1.861706447255e+01      -2.918371605062e+02      -9.475084741561e+02       3.304021892712e-01       3.304021742622e-01      -3.589352012621e-05       2.210458568383e-01       2.211194625932e-01       2.021522943186e-01      -3.272458641594e-05       7.294424657692e-03       9.174051515488e-02       2.200085088053e-01 
       2.675890332307e-02      -1.135347430834e+00      -1.495292736437e+03      -1.508284576410e+03      -3.485169382192e+01      -1.125022364018e+00      -1.616554212575e+01      -2.997988779922e+02      -1.278004939137e+03       2.812555910046e-01       2.812555826073e-01      -3.084130795223e-05       2.982760684444e-01       2.983936754646e-01       2.597913214222e-01      -2.814278129898e-05       6.393937046141e-03       9.861170101779e-02       2.965689681601e-01 
       3.366656121949e-02      -9.326448781370e-01      -1.939656467411e+03      -1.962781992516e+03      -4.258435642776e+01      -9.241612865949e-01      -1.346014988440e+01      -2.874559146651e+02      -1.661555530216e+03       2.310403216487e-01       2.310403171485e-01      -2.564217527050e-05       3.879414517063e-01       3.881191359598e-01       3.136889170265e-01      -2.342448557534e-05       5.425013967508e-03       9.879195992016e-02       3.852072250272e-01 
       4.174812847909e-02      -7.591980860809e-01      -2.424968793760e+03      -2.458541743258e+03      -4.889161112980e+01      -7.522901828105e-01      -1.102249156385e+01      -2.627254539024e+02      -2.079648328308e+03       1.880725457026e-01       1.880725432682e-01      -2.117185240280e-05       4.857459508130e-01       4.859800288965e-01       3.542307507618e-01      -1.936559646983e-05       4.407272340502e-03       9.380036260080e-02       4.815447008803e-01 
