# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       1.065297608949e-05      -1.618751091233e+00      -1.214063357788e+00      -1.214063357807e+00      -1.213779683948e-01      -1.618751089113e+00      -1.242042013277e+00      -1.214994575548e+00      -1.162195634919e+00       5.954158717130e-01       5.948598527211e-01       7.943270702387e-08       7.945565404025e-08       7.945567272804e-08       7.945563387057e-08       7.943175008852e-08       7.945088195233e-08       7.945448540261e-08       7.945563602562e-08 
       1.341130231029e-05      -1.618901826619e+00      -1.214176474473e+00      -1.214176474508e+00      -1.213832247125e-01      -1.618901820992e+00      -1.242157695382e+00      -1.215107776523e+00      -1.162303574707e+00       5.954387948107e-01       5.948828417645e-01       1.258717137430e-07       1.259291304229e-07       1.259291426176e-07       1.259290525808e-07       1.258692563829e-07       1.259179946560e-07       1.259273787858e-07       1.259290611587e-07 
       1.688382928368e-05      -1.619286879468e+00      -1.214465425023e+00      -1.214465425071e+00      -1.213918190539e-01      -1.619286865177e+00      -1.242453283502e+00      -1.215396945679e+00      -1.162579290586e+00       5.954385685776e-01       5.948827144133e-01       1.994427613443e-07       1.995856447893e-07       1.995856615989e-07       1.995854312534e-07       1.994365573487e-07       1.995587165045e-07       1.995823324224e-07       1.995854653935e-07 
       2.125548173362e-05      -1.619921350372e+00      -1.214941710762e+00      -1.214941710894e+00      -1.214036447838e-01      -1.619921312826e+00      -1.242940397859e+00      -1.215873582722e+00      -1.163033518365e+00       5.954320982920e-01       5.948764162678e-01       3.159530152419e-07       3.163208538084e-07       3.163209167389e-07       3.163202802061e-07       3.159369179558e-07       3.162528124461e-07       3.163141830143e-07       3.163204160603e-07 
       2.675906609438e-05      -1.620861058083e+00      -1.215647586675e+00      -1.215647587065e+00      -1.214228894782e-01      -1.620860961422e+00      -1.243662156600e+00      -1.216579963586e+00      -1.163706751800e+00       5.954381720641e-01       5.948827591335e-01       5.004023475735e-07       5.013343153422e-07       5.013344660602e-07       5.013326724131e-07       5.003612940377e-07       5.011643496649e-07       5.013209854400e-07       5.013332128822e-07 
       3.368766830209e-05      -1.622421166074e+00      -1.216820447094e+00      -1.216820448156e+00      -1.214528926800e-01      -1.622420919537e+00      -1.244861082479e+00      -1.217753629010e+00      -1.164825307348e+00       5.954297543520e-01       5.948747693254e-01       7.921977537163e-07       7.945575713942e-07       7.945579725935e-07       7.945526606492e-07       7.920935525559e-07       7.941301424568e-07       7.945279757647e-07       7.945548099186e-07 
       4.241026168960e-05      -1.624846803831e+00      -1.218646657633e+00      -1.218646660443e+00      -1.215004653026e-01      -1.624846180482e+00      -1.246726975092e+00      -1.219581001813e+00      -1.166567047799e+00       5.954272931285e-01       5.948729802776e-01       1.253340151026e-06       1.259282098111e-06       1.259283136542e-06       1.259266645186e-06       1.253077425874e-06       1.258211666032e-06       1.259215574279e-06       1.259275186635e-06 
       5.339135616187e-05      -1.628697023715e+00      -1.221552041894e+00      -1.221552049324e+00      -1.215745647844e-01      -1.628695444094e+00      -1.249693184631e+00      -1.222487994214e+00      -1.169337985246e+00       5.954196893513e-01       5.948664540436e-01       1.980815023489e-06       1.995799249374e-06       1.995801868135e-06       1.995747896414e-06       1.980151752141e-06       1.993105923272e-06       1.995643321590e-06       1.995781806353e-06 
       6.721573504233e-05      -1.634794599324e+00      -1.226169627331e+00      -1.226169646365e+00      -1.216908391750e-01      -1.634790625812e+00      -1.254401792515e+00      -1.227107566160e+00      -1.173741727638e+00       5.954033182503e-01       5.948517764647e-01       3.125417571006e-06       3.163065993431e-06       3.163072672729e-06       3.162887666723e-06       3.123751817105e-06       3.156307846620e-06       3.162691216493e-06       3.163022073931e-06 
       8.461959691722e-05      -1.644395998468e+00      -1.233481634365e+00      -1.233481682079e+00      -1.218720660273e-01      -1.644386049298e+00      -1.261843887599e+00      -1.234421314936e+00      -1.180714971205e+00       5.953794384832e-01       5.948305557834e-01       4.918677446394e-06       5.012991967394e-06       5.013008759023e-06       5.012349726442e-06       4.914510774033e-06       4.996070671040e-06       5.012078626202e-06       5.012881118676e-06 
